accent,country,country_coord
shona,ZW,"(-18.4554963, 29.7468414)"
damara,NA,"(-23.2335499, 17.3231107)"
southern sotho,ZA,"(-28.8166236, 24.991639)"
"luo, swahili",KE,"(1.4419683, 38.4313975)"
ateso,UG,"(1.5333554, 32.2166578)"
meru,KE,"(1.4419683, 38.4313975)"
siswati,ZA,"(-28.8166236, 24.991639)"
portuguese,ZA,"(-28.8166236, 24.991639)"
esan,NG,"(9.6000359, 7.9999721)"
nasarawa eggon,NG,"(9.6000359, 7.9999721)"
ibibio,NG,"(9.6000359, 7.9999721)"
isoko,NG,"(9.6000359, 7.9999721)"
pidgin,NG,"(9.6000359, 7.9999721)"
alago,NG,"(9.6000359, 7.9999721)"
nembe,NG,"(9.6000359, 7.9999721)"
ngas,NG,"(9.6000359, 7.9999721)"
kagoma,NG,"(9.6000359, 7.9999721)"
ikwere,NG,"(9.6000359, 7.9999721)"
fulani,NG,"(9.6000359, 7.9999721)"
bette,NG,"(9.6000359, 7.9999721)"
efik,NG,"(9.6000359, 7.9999721)"
edo,NG,"(9.6000359, 7.9999721)"
hausa/fulani,NG,"(9.6000359, 7.9999721)"
bekwarra,NG,"(9.6000359, 7.9999721)"
epie,NG,"(9.6000359, 7.9999721)"
afemai,NG,"(9.6000359, 7.9999721)"
benin,NG,"(9.6000359, 7.9999721)"
nupe,NG,"(9.6000359, 7.9999721)"
tiv,NG,"(9.6000359, 7.9999721)"
okrika,NG,"(9.6000359, 7.9999721)"
etsako,NG,"(9.6000359, 7.9999721)"
ogoni,NG,"(9.6000359, 7.9999721)"
kubi,NG,"(9.6000359, 7.9999721)"
gbagyi,NG,"(9.6000359, 7.9999721)"
brass,NG,"(9.6000359, 7.9999721)"
oklo,NG,"(9.6000359, 7.9999721)"
ekene,NG,"(9.6000359, 7.9999721)"
ika,NG,"(9.6000359, 7.9999721)"
berom,NG,"(9.6000359, 7.9999721)"
jaba,NG,"(9.6000359, 7.9999721)"
itsekiri,NG,"(9.6000359, 7.9999721)"
ukwuani,NG,"(9.6000359, 7.9999721)"
yala mbembe,NG,"(9.6000359, 7.9999721)"
afo,NG,"(9.6000359, 7.9999721)"
english,NG,"(9.6000359, 7.9999721)"
ebiobo,NG,"(9.6000359, 7.9999721)"
igbo and yoruba,NG,"(9.6000359, 7.9999721)"
okirika,NG,"(9.6000359, 7.9999721)"
kalabari,NG,"(9.6000359, 7.9999721)"
ijaw(nembe),NG,"(9.6000359, 7.9999721)"
anaang,NG,"(9.6000359, 7.9999721)"
eggon,NG,"(9.6000359, 7.9999721)"
bini,NG,"(9.6000359, 7.9999721)"
"yoruba, hausa",NG,"(9.6000359, 7.9999721)"
ekpeye,NG,"(9.6000359, 7.9999721)"
bajju,NG,"(9.6000359, 7.9999721)"
kanuri,NG,"(9.6000359, 7.9999721)"
delta,NG,"(9.6000359, 7.9999721)"
khana,NG,"(9.6000359, 7.9999721)"
ogbia,NG,"(9.6000359, 7.9999721)"
mada,NG,"(9.6000359, 7.9999721)"
mwaghavul,NG,"(9.6000359, 7.9999721)"
angas,NG,"(9.6000359, 7.9999721)"
ikulu,NG,"(9.6000359, 7.9999721)"
eleme,NG,"(9.6000359, 7.9999721)"
igarra,NG,"(9.6000359, 7.9999721)"
etche,NG,"(9.6000359, 7.9999721)"
agatu,NG,"(9.6000359, 7.9999721)"
bassa,NG,"(9.6000359, 7.9999721)"
jukun,NG,"(9.6000359, 7.9999721)"
urobo,NG,"(9.6000359, 7.9999721)"
ibani,NG,"(9.6000359, 7.9999721)"
obolo,NG,"(9.6000359, 7.9999721)"
idah,NG,"(9.6000359, 7.9999721)"
eket,NG,"(9.6000359, 7.9999721)"
nyandang,NG,"(9.6000359, 7.9999721)"
estako,NG,"(9.6000359, 7.9999721)"
ishan,NG,"(9.6000359, 7.9999721)"
bassa-nge/nupe,NG,"(9.6000359, 7.9999721)"
bagi,NG,"(9.6000359, 7.9999721)"
gerawa,NG,"(9.6000359, 7.9999721)"
