idx,user_ids,accent,age_group,country,transcript,nchars,audio_ids,audio_paths,duration,origin,domain,split,gender
72046,0f791ed668393b87fb7a89caed4b8896,swahili,19-25,KE,"The statement further said the State Commissioner of Police,  CP Kamaldeen Okunlola, is appealing to members of the public to go about their lawful activities and should not panic as the situation is under control.
",213,decef9767b373e904cfd77d4c7361a35,/AfriSpeech-100/test/28f8c735-c821-4b54-8078-2278ab777148/b9b2dae1a0ebf06c2fd52343fa65c4b7.wav,11.53,african,general,test,Female
130145,7e4659cd57745551152b0cee3359c7cb,swahili,19-25,KE,"Del Guidice: So, on Tuesday there was a really huge tragic explosion in Beirut, which is the capital city of Lebanon.
",117,aae80a5aa27d759178c7b4c3be0effe7,/AfriSpeech-100/test/6279e453-c26e-4565-8aa9-980f3c632116/2b06bec5d811928e2cc5b3712618183d.wav,15.18,african,general,test,Male
46650,6797fff3246da56ee90a186dae614051,swahili,19-25,KE,"Police are conducting investigations and we are appealing to people that might have information leading to the arrest of the suspects to contact any nearest police station, said Asst Comm Nyathi.",195,88616958e4ba063d5431a385dfe7956c,/AfriSpeech-100/test/4d625376-17d3-4621-9a08-d1ad3c0d9e3d/c22590bb7c076b83642d8e91e5e2dd7d.wav,15.720997732426303,african,general,test,Male
81886,f6d533e8dea137a94f7750f7a8080361,swahili,26-40,KE,"Red Cloud was the most photographed American Indian of the nineteenth century.
",78,f33a0026acb40d204e8b84003be34948,/AfriSpeech-100/test/52e225f4-7ca5-422b-b757-7ae83a119f29/881b426962ac2e86797029ab203b4ac5.wav,4.666984126984128,african,general,test,Female
9175,34195a5670353fd553d53e8a57a44299,swahili,19-25,UG,The Amazon weasel is 43 to 52 cm 17 to 20 in in length.,55,e778bf626f10504412808a897833c76a,/AfriSpeech-100/test/81551cb9-1026-46be-b06b-c81b6ef4b31d/6e56cd3ac9d10af372d20b5f645782c8.wav,8.646984126984126,african,general,test,Female
52510,4e6385ad4c3d86e94b67d95118475404,swahili,26-40,KE,"Next line. Headaches are usually reduced with use of analgesics. Last episode of headache was 4 months ago. Signed: Bashir Ogunsusi
",131,b4595f604b14185a51171d568454b13b,/AfriSpeech-100/test/fa455424-c846-4488-b6e4-b837b49de30c/0d3ce9fa69584ee83b21816fea29df78.wav,16.445986394557824,african,general,test,Female
134824,2216c578eeaeaa9e73262533afcf130b,swahili,19-25,KE,"Truly, Let Your Love Flow is the Bellamy Brothers signature song, and an enduring one at that.
",94,90332357200e0605bf1f52c9840c93e5,/AfriSpeech-100/test/5820e372-1d9e-4516-be41-aca2094da60b/b9bbce4147614012bfcd432c54e80200.wav,7.051995464852607,african,general,test,Female
130045,7e4659cd57745551152b0cee3359c7cb,swahili,19-25,KE,"The crisis rocking the management of Radio Communication Nigeria Limited, RCN, one of the companies owned by the acclaimed winner of June 12, 1993 election, late M.K.O Abiola has snowballed into legal hostilities.
",213,a77016ea40620d933561b2067a6e10cf,/AfriSpeech-100/test/3eac02a1-60da-4104-804f-a683846704ee/873bbf3b7a3b1307441c41b7266b5971.wav,26.078979591836728,african,general,test,Male
66461,e77b7a02e13a4619d98b0177a76cc67a,swahili,41-55,KE,Jason's pain will need to be controlled before initiating additional nursing care.,81,e3b73a3fbf0510961574a121a5672625,/AfriSpeech-100/test/689e13f6-78a6-4081-bd76-4faf306a0a80/2ea41961b33e539f7569b36c232d3149.wav,6.498979591836735,african,clinical,test,Female
22077,1b7ea827947fa9041b63d7545e2f7c4a,swahili,56yrs>,KE,"In Uttar Pradesh, education has become a major commercial activity with scant respect for the future of the students.",117,8a4d3960e474c17c38f9485a2368f0d5,/AfriSpeech-100/test/94ed5cb9-37fc-49ad-90c3-f09d6f386f8d/3b81e533d38603ee65e57ca005171feb.wav,7.9289795918367325,african,general,test,Female
